stadium_name,stadium_location,stadium_type,stadium_address,stadium_weather_type,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
M&T Bank Stadium,"Baltimore, MD",outdoor,"1101 Russell St, Baltimore, MD 21230",moderate,FieldTurf,39.278056,-76.622778,47.5
Mall of America Field,"Minneapolis, MN",indoor,"900 S 5th St, Minneapolis, MN 55415",indoor,,44.854167,-93.242222,
Memorial Stadium (Baltimore),"Baltimore, MD",outdoor,"900 E 33rd St, Baltimore, MD 21218",moderate,,39.1733,-76.684,47.5
Memorial Stadium (Champaign),"Champaign, IL",outdoor,"1402 S 1st St, Champaign, IL 61820",cold,,40.09916667,-88.23583333,
Memorial Stadium (Clemson),"Clemson, SC",outdoor,"1 Avenue of Champions, Clemson, SC 29634",moderate,,34.6738,-82.8392,
Mercedes-Benz Stadium,"Atlanta, GA",retractable,1 AMB Drive Northwest,indoor,FieldTurf,33.755556,-84.4,
Mercedes-Benz Superdome,"New Orleans, LA",indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",indoor,FieldTurf,29.950833,-90.811111,
MetLife Stadium,"East Rutherford, NJ",outdoor,"1 MetLife Stadium Dr, East Rutherford, NJ 07073",cold,FieldTurf,40.813528,-74.074361,2.1
Metropolitan Stadium,"Bloomington, MN",outdoor,"8000 Cedar Avenue South, Bloomington, Minnesota 55425",cold,,44.8831,-93.2289,265.8
Mile High Stadium,"Denver, CO",outdoor,"1701 Bryant St, Denver, CO 80204",cold,,39.74611111,-105.0216667,1611.2
New Era Field,"Orchard Park, NY",outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,FieldTurf,42.774,-78.787,178
Nippert Stadium,"Cincinnati, OH",outdoor,"2700 Bearcats Way (99 W Corry St.), Cincinnati, OH 45221",cold,Grass,39.1312,-84.5162,
Nissan Stadium,"Nashville, TN",outdoor,"1 Titans Way, Nashville, TN 37213",moderate,Grass,36.166389,-86.771389,182.9
NRG Stadium,"Houston, TX",retractable,"NRG Pkwy, Houston, TX 77054",indoor,Grass,29.684722,-95.410833,13.4
Oakland Coliseum,"Oakland, CA",outdoor,"7000 Coliseum Way, Oakland, CA 94621",moderate,Grass,37.751667,-122.200556,1.8
Orange Bowl,"Miami, FL",outdoor,"1501 NW 3rd St, Miami, FL 33125",warm,,25.7905,-80.3163,8.8
Paul Brown Stadium,"Cincinnati, OH",outdoor,"1 Paul Brown Stadium, Cincinnati, OH 45202",cold,FieldTurf,39.095,-84.516,193.9
Paycor Stadium,"Cincinnati, OH",outdoor,"1 Paul Brown Stadium, Cincinnati, OH 45202",cold,FieldTurf,39.1,-84.51667,193.9
Pitt Stadium,"Pittsburgh, PA",outdoor,"Terrace Street, Pittsburgh, PA 15260",cold,Grass,40.446667,-80.015833,
Pontiac Silverdome,"Pontiac, MI",indoor,"1200 Featherstone Rd, Pontiac, MI 48342",indoor,,42.64583333,-83.255,
Pro Player Stadium,"Miami, FL",,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,,25.7905,-80.3163,8.8
Qualcomm Stadium,"San Diego, CA",outdoor,"9449 Friars Rd, San Diego, CA 92108",warm,Grass,32.783056,-117.119444,145.4
Ralph Wilson Stadium,"Orchard Park, NY",outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,FieldTurf,42.889,-78.8901,178
Raymond James Stadium,"Tampa, FL",outdoor,"4201 N Dale Mabry Hwy, Tampa, FL 33607",warm,Grass,27.975833,-82.503333,5.8
RCA Dome,"Indianapolis, IN",indoor,"100 S Capitol Ave, Indianapolis, IN 46225",indoor,,39.76361111,-86.16333333,
Reliant Stadium,"Houston, TX",retractable,"NRG Pkwy, Houston, TX 77054",indoor,Grass,29.63806,-95.28194,13.4
RFK Memorial Stadium,"Washington, DC",outdoor,"2400 E Capitol St SE, Washington, DC 20003",moderate,,38.9133,-76.97,15.2
Rice Stadium,"Houston, TX",outdoor,"2176 University Boulevard, Houston, TX 77251",warm,Grass,29.716389,-95.409167,
Rogers Centre,"Toronto, Canada",retractable,"1 Blue Jays Way, Toronto, ON M5V 1J1, Canada",indoor,,43.641389,-79.389167,
Rose Bowl,"Pasadena, CA",outdoor,1001 Rose Bowl Drive,moderate,Grass,34.161,-118.168,
Seattle Kingdome,"Seattle, WA",indoor,"422 2nd Ave S, Seattle, WA 98104",indoor,,47.595278,-122.331389,
Shea Stadium,"Flushing, NY",outdoor,"123-01 Roosevelt Avenue, Flushing, NY 11368",cold,Grass,40.755556,-73.848056,
SoFi Stadium,"Inglewood, CA",outdoor,"	1001 South Stadium Drive",warm,Hellas Matrix Turf,33.95345,-118.3392,
Soldier Field,"Chicago, IL",outdoor,"1410 Museum Campus Dr, Chicago, IL 60605",cold,Grass,41.8623,-87.6167,177.7
Sports Authority Field at Mile High,"Denver, CO",outdoor,"1701 Bryant St, Denver, CO 80204",cold,Grass,39.7633,-104.8694,1611.2
Stanford Stadium,"Palo Alto, CA",,625 Nelson Road,moderate,,37.43444,-122.161111,
State Farm Stadium,"Glendale, AZ",retractable,"1 Cardinals Dr, Glendale, AZ 85305",indoor,Grass,33.528,-112.263,375.2
StubHub Center,"Los Angeles, CA",outdoor,"18400 S Avalon Blvd, Carson, CA 90746",warm,Grass,33.938,-118.3888,29.6
Sun Devil Stadium,"Tempe, AZ",outdoor,"500 E Veterans Way, Tempe, AZ 85287",warm,,33.42638889,-111.9325,375.2
Sun Life Stadium,"Miami Gardens, FL",outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,,25.7905,-80.3163,8.8
Tampa Stadium,"Tampa, FL",,4201 North Dale Mabry Highway,warm,,27.975833,-82.503333,
TCF Bank Stadium,"Minneapolis, MN",outdoor,"420 SE 23rd Ave, Minneapolis, MN 55455",cold,,44.976,-93.225,265.8
Texas Stadium,"Irving, TX",outdoor,"2401 E Airport Fwy, Irving, TX 75062",moderate,,32.84,-96.911,163.4
Three Rivers Stadium,"Pittsburgh, PA",outdoor,"W General Robinson St, Pittsburgh, PA 15212",cold,,40.446667,-80.012778,366.7
TIAA Bank Field,"Jacksonville, FL",outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",warm,Grass,30.323889,-81.6375,6.1
Tiger Stadium,"Detroit, MI",outdoor,"2121 Trumbull Ave., Detroit, MI 48216",cold,Grass,30.412222,-91.183889,
Tiger Stadium (LSU),"Baton Rouge, LA",outdoor,"Baton Rouge, LA 70803",warm,,30.411944,-91.185556,
Tottenham Hotspur Stadium,"London, UK",,"Tottenham, London, N17",moderate,,51.604444,-0.066389,
Tottenham Stadium,"London, UK",,"Tottenham, London, N17",moderate,,51.604444,-0.066389,
Tulane Stadium,"New Orleans, LA",outdoor,"Willow St. & Audubon Blvd., New Orleans, LA 70118",warm,"Grass, Turf (1971-1974)",29.942778,-90.1175,
